sasa_thresh_nm2,angle_thresh_deg,p_activated,p_aligned,p_gate_open,p_indep,obs_over_indep,n_frames
30.0,15.0,0.5828870019595036,0.008752449379490528,0.005355976485956891,0.005101688978613551,1.049843788676519,7655
30.0,30.0,0.5828870019595036,0.03514043109079033,0.018811234487263226,0.020482900526075307,0.9183872402893329,7655
30.0,45.0,0.5828870019595036,0.0813847158719791,0.039190071848465055,0.047438093039943924,0.8261308441607497,7655
30.0,60.0,0.5828870019595036,0.15558458523840626,0.07393860222077074,0.09068823244072746,0.8153053624580892,7655
30.0,90.0,0.5828870019595036,0.46335728282168515,0.2779882429784455,0.27008493742003387,1.0292622966460379,7655
35.0,15.0,0.3294578706727629,0.008752449379490528,0.0007838014369693011,0.002883563335738094,0.27181696592375165,7655
35.0,30.0,0.3294578706727629,0.03514043109079033,0.003657740039190072,0.011577291601694737,0.315940909586715,7655
35.0,45.0,0.3294578706727629,0.0813847158719791,0.008491182233834096,0.026812835196490043,0.31668349026162074,7655
35.0,60.0,0.3294578706727629,0.15558458523840626,0.021685173089484,0.051258566162150306,0.4230546172689568,7655
35.0,90.0,0.3294578706727629,0.46335728282168515,0.16877857609405617,0.15265670375914955,1.1056086757928594,7655
40.0,15.0,0.23605486610058785,0.008752449379490528,0.00039190071848465056,0.00206605826632781,0.18968522082448852,7655
40.0,30.0,0.23605486610058785,0.03514043109079033,0.00248203788373612,0.008295069755853446,0.29921844623243354,7655
40.0,45.0,0.23605486610058785,0.0813847158719791,0.005878510777269758,0.019211258207794412,0.30599301272650237,7655
40.0,60.0,0.23605486610058785,0.15558458523840626,0.014369693011103853,0.03672649843576749,0.39126226629624417,7655
40.0,90.0,0.23605486610058785,0.46335728282168515,0.1263226649248857,0.1093777413532051,1.1549211326001116,7655
